,energy beam,slam,recover,iron defence,flykick
0,21,85,45,50,36
1,37,32,200,133,46
2,6,52,218,136,39
3,2,38,367,404,69
4,186,12,368,235,35
5,17,31,559,344,9
6,0,28,620,369,30
7,54,64,499,377,8
8,110,48,621,526,2
9,171,31,626,546,3
10,300,66,299,558,14
11,179,13,427,578,24
12,190,106,477,661,36
13,180,67,590,563,70
14,258,35,357,739,81
15,9,0,622,732,107
16,102,9,558,521,113
17,15,0,731,641,83
18,24,25,627,643,117
19,77,1,640,664,88
20,24,1,593,640,141
21,138,1,619,634,78
22,63,0,584,674,149
23,72,33,642,587,49
24,17,33,621,540,53
25,2,30,675,696,67
26,51,1,757,585,35
27,36,0,783,605,46
28,15,4,725,640,86
29,34,0,753,614,69
30,31,16,784,573,66
31,0,6,831,561,72
32,0,12,716,659,83
33,48,17,648,609,148
34,20,0,772,549,129
35,3,0,821,523,123
36,14,19,604,539,135
37,0,0,695,591,184
38,0,0,742,566,162
39,0,31,660,583,196
40,0,0,642,605,223
41,0,0,663,602,205
42,0,0,644,613,213
43,2,0,672,600,196
44,3,0,647,602,218
45,3,0,645,553,183
46,0,0,613,618,239
47,0,0,748,553,169
48,0,0,667,599,204
49,0,0,705,590,175
50,0,0,650,608,212
51,0,0,666,613,191
52,0,0,698,602,170
53,0,0,706,599,165
54,0,0,696,601,173
55,0,0,700,602,168
56,0,0,706,600,164
57,5,0,700,599,166
58,5,0,682,636,147
59,6,0,748,581,135
60,0,0,715,592,163
61,0,0,698,596,176
62,0,0,697,598,175
63,0,0,713,592,165
64,0,36,629,653,152
65,0,0,707,595,168
66,2,11,759,562,136
67,0,0,701,615,154
68,0,0,729,587,154
69,0,0,650,655,165
70,0,0,716,597,157
71,0,0,699,600,171
72,0,0,702,597,171
73,0,0,707,599,164
74,0,0,771,562,137
75,0,0,712,606,152
76,0,0,714,597,159
77,0,0,714,599,157
78,31,0,693,593,153
79,0,0,754,578,138
80,0,0,710,599,161
81,0,0,713,595,162
82,0,0,705,599,166
83,0,0,705,598,167
84,0,0,725,589,156
85,0,0,708,598,164
86,0,0,747,582,141
87,0,0,717,595,158
88,0,0,713,594,163
89,1,0,685,623,161
90,0,0,719,591,160
91,0,0,707,596,167
92,0,0,709,597,164
93,0,0,704,598,168
94,0,0,713,596,161
95,0,0,702,599,169
96,0,61,602,656,151
97,0,0,705,599,166
98,0,0,719,592,159
99,0,0,707,597,166
