,energy beam,slam,recover,iron defence,flykick
0,0,58,0,0,27
1,0,59,17,88,25
2,0,51,0,0,30
3,0,50,0,2,33
4,0,68,0,74,31
5,2,41,0,1,37
6,0,45,0,0,32
7,0,51,0,12,30
8,0,63,0,13,26
9,0,27,0,0,47
10,0,24,2,0,44
11,0,39,0,0,44
12,0,34,0,8,41
13,0,43,34,91,43
14,0,36,40,91,48
15,0,99,52,66,44
16,0,42,14,19,51
17,0,31,68,92,51
18,47,73,39,41,21
19,0,95,88,46,24
20,0,76,36,56,53
21,0,75,27,28,33
22,0,21,0,14,52
23,0,32,14,11,56
24,0,29,0,8,46
25,0,45,0,20,41
26,0,75,2,2,14
27,0,33,0,0,46
28,0,45,0,1,32
29,2,72,0,1,17
30,0,58,1,0,25
31,0,38,0,0,36
32,0,40,0,0,37
33,0,26,1,5,43
34,0,29,3,1,44
35,0,46,0,6,38
36,0,30,0,0,46
37,0,76,0,0,18
38,0,58,0,8,26
39,0,47,0,0,31
40,2,54,0,13,28
41,0,29,0,1,46
42,0,34,0,14,43
43,5,67,11,18,23
44,1,44,0,0,35
45,0,29,1,24,51
46,0,41,1,1,43
47,0,31,2,6,44
48,0,50,0,4,36
49,0,114,118,39,14
50,0,46,0,5,33
51,0,33,1,4,44
52,1,49,0,4,34
53,2,48,0,1,35
54,0,36,0,1,46
55,0,45,0,0,34
56,0,60,0,0,23
57,1,52,0,7,31
58,0,55,1,0,26
59,0,18,9,34,58
60,0,25,0,3,45
61,1,48,1,3,35
62,0,39,1,0,36
63,1,52,1,1,30
64,5,41,0,14,35
65,3,68,21,13,32
66,0,52,0,0,24
67,0,22,0,0,50
68,0,22,0,0,51
69,3,32,0,0,45
70,0,24,0,0,47
71,0,30,0,0,41
72,0,52,0,4,31
73,0,35,0,0,42
74,0,20,0,0,49
75,0,19,0,0,53
76,0,49,0,1,34
77,0,15,0,0,55
78,0,41,0,7,38
79,0,29,0,0,43
