,energy beam,slam,recover,iron defence,flykick
0,189,31,145,45,2
1,268,7,155,55,13
2,150,141,374,90,8
3,141,160,199,109,27
4,263,189,322,143,6
5,210,87,497,359,1
6,76,29,507,163,14
7,101,201,533,215,5
8,85,188,278,175,44
9,86,185,438,202,19
10,172,51,472,247,22
11,199,171,465,252,15
12,326,12,385,201,12
13,289,109,440,192,10
14,160,115,614,248,2
15,109,243,465,211,4
16,43,282,413,257,22
17,84,232,551,259,28
18,58,392,481,243,7
19,139,101,720,432,0
20,81,119,650,310,31
21,66,223,683,307,10
22,64,219,719,294,1
23,13,321,751,275,0
24,5,339,541,267,6
25,0,454,632,324,0
26,0,255,816,399,0
27,0,369,591,429,4
28,0,379,708,382,1
29,0,237,819,414,0
30,0,281,783,406,0
31,0,295,754,421,0
32,0,358,719,393,0
33,0,335,721,414,0
34,0,330,710,430,0
35,0,330,739,401,0
36,0,283,783,404,0
37,0,336,731,403,0
38,0,396,689,385,0
39,0,304,752,414,0
40,21,353,585,353,0
41,5,442,642,381,0
42,0,316,716,419,19
43,0,414,674,382,0
44,0,359,718,393,0
45,0,463,648,359,0
46,0,379,703,388,0
47,0,271,710,481,8
48,0,457,651,362,0
49,0,411,672,387,0
50,0,317,732,421,0
51,0,317,739,414,0
52,0,487,582,398,3
53,0,379,701,390,0
54,0,194,765,511,0
55,0,220,816,434,0
56,0,251,786,433,0
57,0,385,693,392,0
58,0,360,654,445,11
59,0,403,660,407,0
60,0,353,709,408,0
61,0,462,626,382,0
62,0,330,718,422,0
63,0,286,765,419,0
64,0,238,757,475,0
65,0,380,669,421,0
66,0,422,654,394,0
67,0,325,711,434,0
68,0,473,616,380,1
69,5,391,667,406,1
70,0,355,702,413,0
71,0,522,583,365,0
72,0,425,653,392,0
73,0,336,707,426,1
74,0,392,664,414,0
75,0,330,623,503,14
76,0,368,677,425,0
77,0,334,684,452,0
78,0,395,661,414,0
79,0,385,657,428,0
80,0,463,587,420,0
81,0,344,686,440,0
82,0,167,795,508,0
83,0,244,753,473,0
84,0,213,766,491,0
85,0,317,675,478,0
86,0,273,692,503,2
87,0,346,679,445,0
88,0,123,823,524,0
89,0,165,777,528,0
90,17,215,666,508,0
91,6,198,702,479,2
92,0,331,659,480,0
93,0,274,714,482,0
94,0,322,672,476,0
95,0,392,644,434,0
96,4,326,684,456,0
97,0,350,650,463,7
98,20,180,660,453,1
99,49,114,790,517,0
