,energy beam,slam,recover,iron defence,flykick
0,16,155,140,138,33
1,17,135,297,253,37
2,44,107,341,178,24
3,97,87,457,274,28
4,188,56,695,473,0
5,102,73,739,498,2
6,142,20,800,489,19
7,179,163,575,366,2
8,127,78,536,367,4
9,53,123,741,491,3
10,39,221,716,435,0
11,88,185,631,445,0
12,62,250,732,367,0
13,86,84,797,503,0
14,98,106,764,502,0
15,62,171,780,457,0
16,12,286,702,393,3
17,17,106,898,449,0
18,27,99,883,461,0
19,29,189,774,477,1
20,4,439,654,373,0
21,4,237,808,421,0
22,12,233,802,423,0
23,0,181,841,448,0
24,12,271,776,411,0
25,0,254,798,418,0
26,0,145,877,448,0
27,11,155,848,436,0
28,0,44,902,453,4
29,0,66,925,479,0
30,0,52,944,474,0
31,0,130,899,441,0
32,0,265,791,414,0
33,0,200,845,425,0
34,0,63,956,451,0
35,0,97,926,447,0
36,0,31,983,456,0
37,0,94,938,438,0
38,0,67,933,470,0
39,0,100,908,462,0
40,0,109,802,393,0
41,0,127,889,454,0
42,0,107,901,462,0
43,0,70,920,480,0
44,0,62,902,506,0
45,0,69,922,479,0
46,0,64,918,488,0
47,0,62,929,479,0
48,0,185,840,445,0
49,0,280,767,423,0
50,0,267,792,411,0
51,0,58,927,485,0
52,0,125,888,457,0
53,0,56,946,468,0
54,0,110,903,457,0
55,0,173,848,449,0
56,0,215,823,432,0
57,0,51,941,478,0
58,0,41,948,481,0
59,0,37,958,475,0
60,0,101,916,453,0
61,0,98,915,457,0
62,0,211,828,431,0
63,0,205,833,432,0
64,0,237,820,412,1
65,0,185,849,436,0
66,0,260,790,420,0
67,0,269,795,406,0
68,0,338,738,394,0
69,0,252,800,418,0
70,0,68,941,461,0
71,0,210,837,423,0
72,0,164,868,438,0
73,0,256,794,420,0
74,0,159,867,444,0
75,0,140,878,452,0
76,0,178,856,436,0
77,0,245,811,414,0
78,0,306,774,390,0
79,0,348,737,385,0
80,0,202,849,419,0
81,0,350,737,383,0
82,0,237,800,433,0
83,0,231,820,419,0
84,0,314,756,400,0
85,0,277,792,401,0
86,0,309,756,405,0
87,0,158,881,431,0
88,0,230,792,448,0
89,0,224,807,439,0
90,0,272,767,431,0
91,0,195,806,469,0
92,0,219,770,481,0
93,0,223,761,486,0
94,0,236,725,509,0
95,0,370,580,448,1
96,0,300,673,497,0
97,0,341,642,487,0
98,0,296,688,486,0
99,0,277,618,575,0
